station_id,q_max,q_p99,q_median,flashiness,n_days,cohort,peak_over_p99
1022500,4300.0,2856.0000000000036,317.0,9.009463722397488,731,steady,1.5056022408963565
1031500,11599.9990234375,4971.000000000011,284.0,17.503521126760603,731,flashy,2.333534303648657
1047000,11800.0,6541.0000000000055,373.0,17.536193029490633,731,flashy,1.804005503745603
1052500,6150.00048828125,3204.0001708984473,177.00001525878906,18.101694320274078,731,flashy,1.9194757054450162
1054200,5790.0,2231.000000000006,88.99999237060547,25.067417879204797,731,flashy,2.595248767368886
1055000,4160.0,2251.000000000006,103.00000762939452,21.854367313246755,731,flashy,1.8480675255441976
1057000,2800.0,1053.999963378907,70.0,15.057142333984388,731,steady,2.6565465818649328
1073000,768.0,164.0,12.0,13.666666666666666,731,steady,4.682926829268292
1078000,3910.0,1347.999963378908,80.99999237060547,16.64197642403842,731,steady,2.9005935506104623
1123000,650.0,344.6000000000008,36.0,9.572222222222244,731,steady,1.8862449216482833
1134500,2239.999755859375,1354.000048828126,86.0,15.744186614280535,731,steady,1.6543572194093148
1137500,4480.0,1766.9999145507863,120.0,14.72499928792322,731,steady,2.535370807382819
1139000,1660.000244140625,946.7000610351586,105.0,9.0161910574777,731,steady,1.7534595300707136
1139800,131.0,87.09999465942397,9.999999046325684,8.710000296592755,731,steady,1.504018461909586
1142500,713.9999389648438,364.19996948242215,33.0,11.03636271158855,731,steady,1.9604612816951497
1144000,17599.998046875,9128.00000000003,800.0,11.410000000000036,731,steady,1.9281330025060193
1162500,533.0,275.20000915527373,21.000001907348636,13.104761150472639,731,steady,1.936773191381945
1169000,4930.0,1676.9999145507818,113.0,14.840707208413999,731,steady,2.9397735546817843
1170100,1330.0,741.5000427246118,52.0,14.259616206242535,731,steady,1.7936613936163361
1181000,5800.0,1344.000000000001,108.0,12.444444444444454,731,steady,4.315476190476187
1187300,957.9999389648438,331.7999786376955,21.0,15.799998982747406,731,steady,2.8872814968168483
1195100,140.0,75.78999999999985,5.800000190734863,13.067240949589902,709,steady,1.8472093943792094
1333000,974.9999389648438,589.0000427246102,54.00000381469727,10.907407428076905,731,steady,1.6553478238382906
1350000,15500.0009765625,4292.000146484387,258.0,16.635659482497626,731,steady,3.611370094956469
1350080,1130.0,447.0500305175775,28.000001907348636,15.966071430882605,586,steady,2.527681294846863
1350140,769.0,203.29998931884805,11.999999046325684,16.941667122973406,731,steady,3.7825875081278504
1365000,1870.0001220703125,779.3999572753908,68.0,11.461764077579275,731,steady,2.399281786731703
1411300,386.0,179.3000000000004,29.0,6.182758620689669,731,steady,2.1528165086447246
1413500,8020.00048828125,2510.0000000000136,193.0,13.00518134715033,731,steady,3.1952193180403214
1414500,1100.0,436.10000000000514,35.0,12.460000000000147,731,steady,2.5223572575097157
1415000,936.9999389648438,384.10000000000105,37.0,10.38108108108111,731,steady,2.4394687294059914
1423000,14500.0,4925.999853515656,350.0,14.074285295759015,731,steady,2.943564845957403
1434025,400.0000305175781,109.66000000000008,6.0,18.27666666666668,668,flashy,3.647638432587797
1435000,4250.0,1900.0,124.99999237060548,15.200000927734429,731,steady,2.236842105263158
1439500,4799.99951171875,1435.0000000000114,158.0,9.08227848101273,731,steady,3.344947394925932
1440000,2290.0,704.6000610351575,79.00000762939453,8.918987253021328,731,steady,3.250070680714482
1440400,3090.0,1032.8000000000056,89.0,11.604494382022535,731,steady,2.991866769945762
1451800,2800.0,791.2999816894558,49.0,16.14897921815216,731,steady,3.5384810625445646
1466500,18.0,5.699999809265137,1.600000023841858,3.5624998277053264,731,steady,3.1578948425123934
1484100,55.0,21.400001335144136,2.6000001430511475,8.23076929143198,731,steady,2.5700932975960282
1487000,940.0000610351562,476.30000915527523,71.00000762939453,6.708450112307925,731,steady,1.973546174610115
1491000,3140.000244140625,1098.0000000000018,81.0,13.555555555555578,731,steady,2.859745213242823
1510000,8800.0,2025.9997924804725,155.0,13.070966403099822,731,steady,4.343534502156085
1516500,313.9999694824219,98.70000000000005,4.799999237060547,20.562503268321883,731,flashy,3.181357340247434
1518862,1910.0,1028.180038452149,46.0,22.35173996635106,664,flashy,1.8576513145259732
1532000,11500.0,2505.000000000007,126.99999237060548,19.724410633742654,731,flashy,4.59081836327344
1539000,12800.0009765625,3426.000000000008,280.0,12.235714285714314,731,steady,3.736135719954019
1542810,216.00001525878903,82.70000000000005,3.6000001430511475,22.972221309388175,731,flashy,2.6118502449672176
1543000,6979.9990234375,3659.9997558593795,231.9999847412109,15.775862054223841,731,steady,1.9071036855297752
1543500,17800.0,9095.000000000011,620.0,14.669354838709696,731,steady,1.9571192963166553
1544500,6210.0,1903.9999145507913,122.0,15.60655667664583,731,steady,3.261554768223358
1545600,1770.0,565.400000000001,40.0,14.135000000000025,731,steady,3.1305270604881446
1547700,1809.9998779296875,464.7999908447272,28.000003814697266,16.599997411455803,731,steady,3.894147834728213
1548500,22000.0,6393.99985351563,467.0,13.69164850859878,731,steady,3.440725759151164
1549500,1600.0,407.7000091552735,29.0,14.058621005354258,731,steady,3.9244541674529034
1550000,7590.00048828125,2017.0000854492191,160.00001525878906,12.606249331831998,731,steady,3.763014460453447
1552000,21300.0,5194.0000000000055,438.0,11.858447488584487,731,steady,4.100885637273773
1552500,1020.0,351.9000000000003,27.0,13.033333333333346,731,steady,2.8985507246376785
1557500,953.0,437.7000183105469,41.0,10.675610202696266,731,steady,2.177290290456075
1567500,337.9999694824219,150.50000000000068,11.0,13.681818181818244,731,steady,2.2458469733051185
1568000,9320.0,2215.000000000007,154.0,14.383116883116928,731,steady,4.207674943566579
