station_id,q_meas_max,n_meas,n_good,q_meas_max_good
05458000,23600.0,604,335,10200.0
05466500,7460.0,397,295,7460.0
05487980,24700.0,585,357,12000.0
05488200,28000.0,278,95,28000.0
05489000,60700.0,805,540,22100.0
05495000,23400.0,1064,562,13400.0
05495500,21400.0,774,507,12600.0
05501000,57500.0,1083,572,15300.0
05503800,9250.0,237,51,4340.0
05507600,11400.0,252,56,6950.0
05508805,15400.0,342,142,5400.0
05525500,15700.0,362,227,15700.0
05556500,11800.0,732,439,7920.0
05584500,37200.0,346,223,18100.0
05591550,1990.0,242,145,1890.0
05592050,5550.0,261,127,5060.0
05592575,6070.0,191,110,2920.0
05593575,10900.0,364,135,10900.0
05593900,4330.0,376,208,4330.0
05595730,21200.0,259,106,1380.0
06221400,1200.0,441,119,1190.0
06224000,3520.0,526,173,3520.0
06278300,786.0,226,50,339.0
06280300,6610.0,261,114,5640.0
06289000,1400.0,337,144,1390.0
06291500,1260.0,228,160,545.0
06311000,885.0,294,101,329.0
06332515,1140.0,592,204,414.0
06339100,3410.0,568,266,3410.0
06344600,3150.0,676,362,1600.0
06350000,20300.0,959,664,7810.0
06352000,7200.0,911,628,7200.0
06404000,1460.0,367,218,1460.0
06406000,11200.0,365,279,11200.0
06409000,912.0,353,235,52.9
06431500,1920.0,294,247,1920.0
06440200,4790.0,237,98,1810.0
06447500,979.0,276,133,420.0
06470800,3330.0,363,83,1800.0
06477500,5900.0,666,304,5530.0
06479215,1490.0,278,68,1150.0
06601000,14500.0,1090,350,2250.0
06614800,37.8,258,27,22.0
06622700,1330.0,317,27,148.0
06623800,2300.0,269,26,1240.0
06632400,2800.0,320,67,1140.0
06746095,137.0,256,41,101.0
06803510,28500.0,636,305,6790.0
06803530,5580.0,527,319,5330.0
06814000,18000.0,225,103,18000.0
06847900,3540.0,163,59,911.0
06853800,3930.0,202,78,3700.0
06876700,9300.0,204,62,2310.0
06878000,46700.0,252,108,10200.0
06879650,5800.0,136,40,65.2
06885500,36100.0,241,115,19100.0
06888500,77200.0,230,91,15500.0
06889200,59600.0,249,109,9900.0
06889500,45500.0,229,147,45500.0
06892000,33100.0,238,125,23200.0
06903400,37700.0,490,203,5910.0
06906800,43800.0,190,50,4500.0
06910800,29600.0,200,104,22700.0
06911900,16500.0,191,100,16500.0
06917000,62800.0,202,97,62800.0
06918460,22100.0,402,50,19400.0
06919500,35700.0,596,187,29500.0
06921070,33600.0,359,64,33600.0
06921200,24900.0,491,135,11400.0
07057500,133000.0,573,291,21800.0
07060710,12100.0,386,263,3680.0
07066000,49000.0,813,294,18400.0
07083000,254.0,278,82,254.0
07142300,17700.0,217,104,875.0
07145700,18100.0,220,105,18100.0
07167500,107000.0,200,87,18700.0
07180500,52400.0,183,110,10900.0
07184000,67500.0,190,82,17400.0
07195800,14600.0,469,416,6730.0
07196900,19100.0,519,412,2830.0
07197000,53400.0,191,98,53400.0
07208500,272.0,475,198,151.0
07261000,17900.0,552,345,13100.0
07263295,6850.0,138,19,3410.0
07291000,43600.0,224,211,37800.0
07299670,11500.0,458,167,7970.0
07301410,1590.0,510,214,550.0
07315200,12800.0,277,73,12500.0
07315700,21300.0,187,59,20500.0
07335700,12400.0,355,122,5750.0
07340300,10800.0,371,304,10800.0
07346045,10300.0,326,212,6110.0
07359610,59000.0,168,86,6000.0
07362100,30500.0,420,288,30500.0
07362587,13500.0,145,16,127.0
07375000,29800.0,140,120,10700.0
08013000,46000.0,148,99,46000.0
08014500,36900.0,160,97,25700.0
08023080,7670.0,195,118,5850.0
08050800,5820.0,159,99,2120.0
08066200,22700.0,408,110,4520.0
08066300,7660.0,384,184,1970.0
08070000,34200.0,705,88,5010.0
08070200,22700.0,226,92,3490.0
08082700,34600.0,233,58,992.0
08086212,330000.0,354,115,462.0
08086290,80000.0,226,98,7600.0
08101000,110000.0,587,226,15500.0
08103900,11800.0,215,68,226.0
08104900,60600.0,407,105,546.0
08109700,10700.0,384,46,419.0
08150800,66900.0,217,88,20100.0
08158700,15800.0,376,78,314.0
08158810,10200.0,244,29,118.0
08164300,52900.0,439,233,52900.0
08164600,8880.0,356,111,4150.0
08165300,140000.0,357,207,75.0
08171300,105000.0,247,125,15500.0
08175000,92700.0,543,153,4930.0
08176900,26600.0,275,51,87.8
08178880,159000.0,221,127,6890.0
08189500,77200.0,175,44,5500.0
08190000,307000.0,311,124,19500.0
08190500,246000.0,444,54,5180.0
08194200,82000.0,307,83,10400.0
08195000,162000.0,817,572,7310.0
08196000,123000.0,548,253,11400.0
08198500,71300.0,544,139,15800.0
08200000,69800.0,511,275,69800.0
08267500,352.0,486,102,194.0
08269000,555.0,529,204,244.0
08271000,192.0,455,203,164.0
08324000,1550.0,665,447,1540.0
08377900,582.0,452,138,381.0
08378500,1590.0,537,227,838.0
08380500,511.0,374,174,146.0
09035800,109.0,268,41,63.0
09035900,352.0,257,45,352.0
09047700,73.6,289,27,54.8
09065500,534.0,287,26,291.0
09066000,194.0,280,49,163.0
09066200,178.0,285,26,75.2
09066300,92.1,285,29,63.2
09081600,2940.0,262,193,2940.0
09107000,1050.0,202,56,777.0
09210500,806.0,277,77,469.0
09223000,1870.0,286,43,889.0
09306242,1780.0,278,67,77.4
09312600,590.0,298,71,590.0
09352900,1900.0,180,92,1170.0
09378170,163.0,235,19,13.0
09386900,737.0,470,184,466.0
09404450,450.0,278,195,196.0
09430600,10100.0,479,296,558.0
09447800,19500.0,290,109,89.6
