sid,ens,ceiling,gap,flash
9512280,-0.9241986280417105,0.9595568508385036,1.883755478880214,74.06111111111052
6803510,-0.9111505413066303,0.9498010330834867,1.860951574390117,14.71874999999974
8086290,-0.15240556674274353,0.9564286925443681,1.1088342592871117,553.4166666666671
2077200,0.088279166995616,0.9637142485139677,0.8754350815183517,40.50571428571421
8194200,0.330035811449369,0.9619057157103228,0.6318699042609538,609.4608695652195
8165300,0.33465612583184834,0.9418325157082204,0.607176389876372,4.283333333333331
7196900,0.3605942665614228,0.9622080384376185,0.6016137718761957,67.53636363636336
9447800,0.3557842277379435,0.9564931816824062,0.6007089539444627,45.38775510204023
5454000,0.37869169737564434,0.9640560495086407,0.5853643521329963,33.145454545454314
8082700,0.411480904996816,0.962632114572767,0.551151209575951,1659.0909090908951
7167500,0.4437310546736176,0.9611018722547574,0.5173708175811398,152.88333333333375
6847900,0.4808521657074102,0.9670617041239737,0.48620953841656356,7.980451127819509
8195000,0.47873520568721084,0.9541448578843557,0.4754096521971448,14.282608695652035
8190000,0.484554998948716,0.958949420884361,0.47439442193564496,25.05882352941148
2395120,0.5147871742561053,0.9492824892083315,0.43449531495222615,23.099999999999955
6447500,0.5157324636990228,0.9374265565646621,0.4216940928656393,6.031578947368416
3604000,0.5387084328678908,0.9523228028002517,0.4136143699323609,19.122137404579902
5458000,0.5402968642731681,0.9534133632920583,0.41311649901889014,18.69491525423728
7315200,0.5459965854369244,0.9578087911580566,0.4118122057211322,1276.5538461538463
6879650,0.5575583568090189,0.9621835254047816,0.4046251685957627,63.36842105263151
2198100,0.5502463380335976,0.9541120179859776,0.40386567995238,34.73913043478243
8050800,0.5562195430924823,0.9600759298846349,0.4038563867921525,169.37818181818173
2342933,0.5773542779269817,0.961960639955172,0.3846063620281903,34.27272727272685
7180500,0.5946945149931202,0.9574375042128076,0.3627429892196874,103.47777777777776
3026500,0.5905188750705612,0.9527576676159261,0.36223879254536484,8.391752577319586
8103900,0.6072685328108555,0.960994438423438,0.35372590561258255,26.377464788732425
5489000,0.6174497315535352,0.9587486111427003,0.34129887958916505,80.15873015873
5592575,0.6241063583504244,0.960861790602494,0.3367554322520696,65.41538461538464
8086212,0.6269215170547602,0.9584639055390268,0.33154238848426665,327.31914893617153
6404000,0.6285508763291232,0.9585198275345486,0.32996895120542535,28.653465346535
8196000,0.6434158401018992,0.9552488443586871,0.31183300425678784,21.224999999999852
3368000,0.6478551628152582,0.9593046103362755,0.3114494475210172,86.66666666666676
6339100,0.648801300228408,0.9576708814029645,0.30886958117455654,156.11851851851833
5444000,0.6221571607411756,0.9300271839694452,0.3078700232282696,6.54105263157891
5488200,0.6552599758355839,0.9630355496819207,0.3077755738463368,85.47142857142903
7335700,0.6600261314739594,0.9626843810449349,0.30265824957097553,41.863636363636424
8066200,0.6730678793320514,0.9559859277573987,0.2829180484253473,147.58888888888927
4197170,0.681231098705239,0.9525144392387891,0.2712833405335501,100.38095238095218
9508300,0.685631058532179,0.9554835518545729,0.2698524933223939,278.30434782608756
6440200,0.6883850402290741,0.9576878327935627,0.26930279256448864,536.7567567567571
8066300,0.6861962113919853,0.9515902071553027,0.26539399576331746,30.76190476190461
6803530,0.6871241372688983,0.952024077598663,0.2648999403297647,59.18571428571423
6814000,0.7060174715840648,0.9569319357143979,0.25091446413033314,145.5882352941167
5495500,0.7082300042626434,0.9589419634661439,0.25071195920350053,75.02127659574427
2128000,0.7128491072621064,0.956769084733484,0.2439199774713776,19.367272727272333
8176900,0.718155774364011,0.9605403517873157,0.24238457742330466,111.77631578947368
3291780,0.7331519836972027,0.9598912598752335,0.2267392761780308,41.359166666666674
1591400,0.7013520186629101,0.9264316520958018,0.22507963343289172,5.233333333333292
8101000,0.735639096630772,0.9598846105420518,0.22424551391127978,131.71707317073142
2055100,0.717011404612582,0.9339774695874894,0.21696606497490745,10.767123287671206
